Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds
SP1,1/28/2024,20:00,Ath Madrid,Valencia,2,0,H,1,0,H,12,10,8,3,9,9,3,6,2,0,0,0
SP1,1/27/2024,13:00,Sociedad,Vallecano,0,0,D,0,0,D,6,5,3,0,16,14,2,2,2,4,0,0
SP1,1/27/2024,15:15,Las Palmas,Real Madrid,1,2,A,0,0,D,7,13,2,5,17,14,1,6,3,3,0,0
SP1,1/27/2024,17:30,Barcelona,Villarreal,3,5,A,0,1,A,22,9,10,6,8,13,10,0,3,4,0,0
SP1,1/27/2024,20:00,Mallorca,Betis,0,1,A,0,1,A,14,8,1,2,14,6,5,4,2,1,0,0
SP1,1/26/2024,20:00,Almeria,Alaves,0,3,A,0,1,A,19,11,7,3,17,12,11,3,1,2,0,0
SP1,1/22/2024,20:00,Granada,Ath Madrid,0,1,A,0,0,D,17,10,2,5,11,16,6,2,2,2,1,0
SP1,1/21/2024,13:00,Osasuna,Getafe,3,2,H,2,0,H,13,10,7,7,14,16,1,4,4,4,0,0
SP1,1/21/2024,15:15,Real Madrid,Almeria,3,2,H,0,2,A,18,10,6,2,9,17,6,3,3,5,0,0
SP1,1/21/2024,17:30,Betis,Barcelona,2,4,A,0,1,A,14,11,5,4,12,9,3,4,1,2,0,0
SP1,1/21/2024,20:00,Girona,Sevilla,5,1,H,3,1,H,12,9,8,3,9,11,4,5,0,2,0,0
SP1,1/20/2024,13:00,Vallecano,Las Palmas,0,2,A,0,1,A,16,10,3,5,19,8,12,0,3,1,1,0
SP1,1/20/2024,15:15,Villarreal,Mallorca,1,1,D,1,0,H,18,8,5,2,13,11,4,6,2,2,1,0
SP1,1/20/2024,17:30,Valencia,Ath Bilbao,1,0,H,0,0,D,6,6,1,3,11,14,4,2,0,3,0,0
SP1,1/20/2024,20:00,Celta,Sociedad,0,1,A,0,1,A,6,6,2,2,12,18,6,3,1,2,0,0
SP1,1/19/2024,20:00,Alaves,Cadiz,1,0,H,0,0,D,13,9,3,1,15,18,4,4,0,4,0,0
SP1,1/14/2024,13:00,Almeria,Girona,0,0,D,0,0,D,20,5,3,1,13,8,4,3,4,4,0,1
SP1,1/14/2024,15:15,Cadiz,Valencia,1,4,A,1,1,D,10,9,2,5,15,15,3,1,4,2,0,0
SP1,1/13/2024,13:00,Las Palmas,Villarreal,3,0,H,1,0,H,8,17,3,3,13,11,4,6,4,3,0,0
SP1,1/13/2024,15:15,Mallorca,Celta,1,1,D,1,1,D,17,6,6,2,18,18,10,1,4,1,0,0
SP1,1/13/2024,17:30,Ath Bilbao,Sociedad,2,1,H,2,0,H,10,9,3,1,16,21,5,5,1,4,0,0
SP1,1/13/2024,20:00,Betis,Granada,1,0,H,0,0,D,25,6,6,2,11,17,13,1,3,4,0,0
SP1,1/12/2024,20:00,Sevilla,Alaves,2,3,A,0,2,A,19,16,4,8,12,13,5,4,4,3,0,0
SP1,1/4/2024,16:00,Osasuna,Almeria,1,0,H,1,0,H,14,4,2,0,14,5,5,4,1,2,0,0
SP1,1/4/2024,18:15,Sevilla,Ath Bilbao,0,2,A,0,1,A,11,15,2,6,9,19,5,4,3,1,0,0
SP1,1/4/2024,20:30,Las Palmas,Barcelona,1,2,A,1,0,H,12,15,3,5,14,5,5,10,5,2,1,0
SP1,1/3/2024,16:00,Granada,Cadiz,2,0,H,1,0,H,15,15,8,2,17,16,5,6,3,4,0,1
SP1,1/3/2024,18:15,Celta,Betis,2,1,H,1,1,D,19,14,6,3,10,12,8,7,0,2,0,0
SP1,1/3/2024,18:15,Real Madrid,Mallorca,1,0,H,0,0,D,17,7,5,0,5,15,5,4,2,3,0,0
SP1,1/3/2024,20:30,Girona,Ath Madrid,4,3,H,3,2,H,17,18,9,12,8,10,7,8,0,1,0,0
SP1,1/2/2024,16:00,Getafe,Vallecano,0,2,A,0,1,A,5,12,0,8,16,16,2,3,6,3,2,0
SP1,1/2/2024,18:15,Sociedad,Alaves,1,1,D,0,0,D,16,7,6,2,9,17,6,4,4,4,1,0
SP1,1/2/2024,20:30,Valencia,Villarreal,3,1,H,2,0,H,11,8,8,4,12,15,4,3,2,5,0,0
SP1,12/23/2023,15:15,Ath Madrid,Sevilla,1,0,H,0,0,D,12,8,4,2,12,19,6,5,7,3,1,0
SP1,12/21/2023,18:00,Betis,Girona,1,1,D,0,1,A,21,12,4,4,6,9,7,6,2,2,0,0
SP1,12/21/2023,18:00,Cadiz,Sociedad,0,0,D,0,0,D,10,8,2,1,16,15,7,5,3,1,0,0
SP1,12/21/2023,20:30,Alaves,Real Madrid,0,1,A,0,0,D,8,9,2,4,18,13,3,3,3,1,0,1
SP1,12/21/2023,20:30,Mallorca,Osasuna,3,2,H,1,1,D,15,12,8,7,11,12,6,0,3,1,0,0
SP1,12/20/2023,18:00,Barcelona,Almeria,3,2,H,1,1,D,30,10,11,5,16,9,12,0,3,3,0,0
SP1,12/20/2023,20:30,Ath Bilbao,Las Palmas,1,0,H,0,0,D,19,5,10,1,12,11,5,2,1,3,0,0
SP1,12/20/2023,20:30,Villarreal,Celta,3,2,H,2,0,H,12,15,8,5,16,15,4,7,2,4,0,0
SP1,12/19/2023,18:00,Vallecano,Valencia,0,1,A,0,0,D,7,8,1,3,16,18,8,1,1,5,0,1
SP1,12/19/2023,20:30,Ath Madrid,Getafe,3,3,D,1,0,H,8,29,4,9,7,14,1,12,3,3,1,0
SP1,12/19/2023,20:30,Granada,Sevilla,0,3,A,0,2,A,12,12,3,5,10,18,6,4,2,1,0,0
SP1,12/18/2023,20:00,Girona,Alaves,3,0,H,2,0,H,9,12,4,2,9,7,3,2,0,1,0,0
SP1,12/17/2023,13:00,Almeria,Mallorca,0,0,D,0,0,D,7,20,1,2,12,9,4,4,2,1,0,0
SP1,12/17/2023,15:15,Sociedad,Betis,0,0,D,0,0,D,12,12,4,3,12,12,3,7,3,4,0,0
SP1,12/17/2023,17:30,Las Palmas,Cadiz,1,1,D,1,0,H,7,13,2,5,9,12,4,6,1,3,0,0
SP1,12/17/2023,20:00,Real Madrid,Villarreal,4,1,H,2,0,H,22,3,9,1,14,12,11,0,2,3,0,0
SP1,12/16/2023,13:00,Celta,Granada,1,0,H,1,0,H,11,7,4,2,20,18,7,1,6,2,1,0
SP1,12/16/2023,15:15,Ath Bilbao,Ath Madrid,2,0,H,0,0,D,16,7,7,3,7,10,3,7,0,1,0,0
SP1,12/16/2023,17:30,Sevilla,Getafe,0,3,A,0,2,A,12,14,4,7,18,18,4,2,3,3,0,0
SP1,12/16/2023,20:00,Valencia,Barcelona,1,1,D,0,0,D,11,16,4,8,9,11,4,6,1,2,0,0
SP1,12/15/2023,20:00,Osasuna,Vallecano,1,0,H,0,0,D,10,9,4,3,20,13,9,1,2,3,0,0
SP1,12/11/2023,20:00,Granada,Ath Bilbao,1,1,D,0,1,A,7,19,4,4,9,11,1,8,0,2,0,0
SP1,12/11/2023,20:00,Vallecano,Celta,0,0,D,0,0,D,17,4,4,2,15,10,8,1,3,0,0,0
SP1,12/10/2023,13:00,Ath Madrid,Almeria,2,1,H,2,0,H,13,19,4,5,13,11,3,15,1,0,0,0
SP1,12/10/2023,17:30,Cadiz,Osasuna,1,1,D,1,0,H,12,13,5,5,15,16,2,4,1,2,0,0
SP1,12/10/2023,20:00,Barcelona,Girona,2,4,A,1,2,A,31,15,11,7,7,10,8,3,1,2,0,0
SP1,12/9/2023,13:00,Alaves,Las Palmas,0,1,A,0,1,A,19,9,5,2,13,13,12,3,3,4,0,0
SP1,12/9/2023,15:15,Betis,Real Madrid,1,1,D,0,0,D,14,12,6,2,14,7,8,6,2,1,0,0
